"depth_interval","time_interval","pot_temp","depth","time_data"
"14",1,16.0456314086914,42.1450386047363,1987-01-16
"14",2,15.4187746047974,42.1450386047363,1987-02-15
"14",3,14.9295568466187,42.1450386047363,1987-03-16
"14",4,15.1004219055176,42.1450386047363,1987-04-16
"14",5,15.5804872512817,42.1450386047363,1987-05-16
"14",6,16.4361743927002,42.1450386047363,1987-06-16
"14",7,16.9612159729004,42.1450386047363,1987-07-16
"14",8,17.8161582946777,42.1450386047363,1987-08-16
"14",9,19.3108253479004,42.1450386047363,1987-09-16
"14",10,20.2385177612305,42.1450386047363,1987-10-16
"14",11,21.0402145385742,42.1450386047363,1987-11-16
"14",12,18.351411819458,42.1450386047363,1987-12-16
"14",13,16.4386215209961,42.1450386047363,1988-01-16
"14",14,15.5814008712769,42.1450386047363,1988-02-15
"14",15,15.0498075485229,42.1450386047363,1988-03-16
"14",16,15.3094835281372,42.1450386047363,1988-04-16
"14",17,16.0159034729004,42.1450386047363,1988-05-16
"14",18,16.5407104492188,42.1450386047363,1988-06-16
"14",19,17.5245933532715,42.1450386047363,1988-07-16
"14",20,19.4294300079346,42.1450386047363,1988-08-16
"14",21,19.7639198303223,42.1450386047363,1988-09-16
"14",22,19.6031017303467,42.1450386047363,1988-10-16
"14",23,19.7448577880859,42.1450386047363,1988-11-16
"14",24,17.6137313842773,42.1450386047363,1988-12-16
"14",25,15.4678955078125,42.1450386047363,1989-01-16
"14",26,14.6220445632935,42.1450386047363,1989-02-15
"14",27,14.8648281097412,42.1450386047363,1989-03-16
"14",28,15.5398387908936,42.1450386047363,1989-04-16
"14",29,16.3785095214844,42.1450386047363,1989-05-16
"14",30,17.5368976593018,42.1450386047363,1989-06-16
"14",31,17.7520732879639,42.1450386047363,1989-07-16
"14",32,18.040922164917,42.1450386047363,1989-08-16
"14",33,21.6271514892578,42.1450386047363,1989-09-16
"14",34,21.4444751739502,42.1450386047363,1989-10-16
"14",35,20.491491317749,42.1450386047363,1989-11-16
"14",36,18.4708137512207,42.1450386047363,1989-12-16
"14",37,17.1371974945068,42.1450386047363,1990-01-16
"14",38,15.567587852478,42.1450386047363,1990-02-15
"14",39,15.3513717651367,42.1450386047363,1990-03-16
"14",40,16.0091075897217,42.1450386047363,1990-04-16
"14",41,16.9815635681152,42.1450386047363,1990-05-16
"14",42,17.6467819213867,42.1450386047363,1990-06-16
"14",43,17.5477104187012,42.1450386047363,1990-07-16
"14",44,19.852783203125,42.1450386047363,1990-08-16
"14",45,22.0829772949219,42.1450386047363,1990-09-16
"14",46,22.9406318664551,42.1450386047363,1990-10-16
"14",47,21.5178966522217,42.1450386047363,1990-11-16
"14",48,18.6365070343018,42.1450386047363,1990-12-16
"14",49,16.7597961425781,42.1450386047363,1991-01-16
"14",50,15.689736366272,42.1450386047363,1991-02-15
"14",51,15.2862539291382,42.1450386047363,1991-03-16
"14",52,15.8585824966431,42.1450386047363,1991-04-16
"14",53,16.8473987579346,42.1450386047363,1991-05-16
"14",54,17.8212070465088,42.1450386047363,1991-06-16
"14",55,18.0469207763672,42.1450386047363,1991-07-16
"14",56,18.709451675415,42.1450386047363,1991-08-16
"14",57,21.3886051177979,42.1450386047363,1991-09-16
"14",58,21.8272304534912,42.1450386047363,1991-10-16
"14",59,20.8188705444336,42.1450386047363,1991-11-16
"14",60,17.6250877380371,42.1450386047363,1991-12-16
"14",61,15.8087873458862,42.1450386047363,1992-01-16
"14",62,14.8725624084473,42.1450386047363,1992-02-15
"14",63,14.6337146759033,42.1450386047363,1992-03-16
"14",64,15.0409574508667,42.1450386047363,1992-04-16
"14",65,15.9318017959595,42.1450386047363,1992-05-16
"14",66,17.3456935882568,42.1450386047363,1992-06-16
"14",67,17.6742038726807,42.1450386047363,1992-07-16
"14",68,18.1957187652588,42.1450386047363,1992-08-16
"14",69,19.7646636962891,42.1450386047363,1992-09-16
"14",70,22.4958534240723,42.1450386047363,1992-10-16
"14",71,21.2361907958984,42.1450386047363,1992-11-16
"14",72,18.0840091705322,42.1450386047363,1992-12-16
"14",73,15.7437610626221,42.1450386047363,1993-01-16
"14",74,15.3953952789307,42.1450386047363,1993-02-15
"14",75,14.8939914703369,42.1450386047363,1993-03-16
"14",76,15.0378360748291,42.1450386047363,1993-04-16
"14",77,15.6813507080078,42.1450386047363,1993-05-16
"14",78,16.2227249145508,42.1450386047363,1993-06-16
"14",79,16.7753868103027,42.1450386047363,1993-07-16
"14",80,17.9876956939697,42.1450386047363,1993-08-16
"14",81,18.9910526275635,42.1450386047363,1993-09-16
"14",82,22.0901317596436,42.1450386047363,1993-10-16
"14",83,21.5333976745605,42.1450386047363,1993-11-16
"14",84,18.2505626678467,42.1450386047363,1993-12-16
"14",85,16.6010055541992,42.1450386047363,1994-01-16
"14",86,15.7075634002686,42.1450386047363,1994-02-15
"14",87,15.4060144424438,42.1450386047363,1994-03-16
"14",88,15.7464599609375,42.1450386047363,1994-04-16
"14",89,16.2432403564453,42.1450386047363,1994-05-16
"14",90,16.9167633056641,42.1450386047363,1994-06-16
"14",91,17.6821308135986,42.1450386047363,1994-07-16
"14",92,18.2280921936035,42.1450386047363,1994-08-16
"14",93,18.2972755432129,42.1450386047363,1994-09-16
"14",94,20.1631870269775,42.1450386047363,1994-10-16
"14",95,20.7900829315186,42.1450386047363,1994-11-16
"14",96,18.0965442657471,42.1450386047363,1994-12-16
"14",97,16.0260639190674,42.1450386047363,1995-01-16
"14",98,15.4174537658691,42.1450386047363,1995-02-15
"14",99,15.3971920013428,42.1450386047363,1995-03-16
